NOME DO PRODUTO,PREÇO
ACECLOFENACO 100 MG C/ 12 COMP. (EMS)	,	 42.44 
ACECLOFENACO 100 MG C/ 12 COMP. (GERMED)	,	 42.37 
ACECLOFENACO CREME C/ 30 G (GERMED)	,	 28.87 
ACERATUM GTS. FR. C/ 10 ML (DELTA)	,	 22.86 
ACETILCISTEINA 100 MG PED C/ 16 ENV. (EUROFARMA)	,	 32.05 
ACETILCISTEINA 200 MG C/ 16 SACHES (EUROFARMA	,	 35.79 
ACETILCISTEINA 600 MG C/ 16 COMP. ENFERV.(MASSIME)	,	 36.56 
ACETILCISTEINA 600 MG C/ 16 ENV. C/ 5 G (MASSIME)	,	 51.96 
ACETILCISTEINA 600 MG C/ 16 SACHES (EUROFARMA	,	 79.64 
ACETILCISTEINA XPE. 20 MG INF. C/ 120 ML (LEGRAND)	,	 34.25 
ACETILCISTEINA XPE. 40 MG ADUL. C/ 120 ML (EURO)	,	 42.66 
ACETILCISTEINA XPE. 40 MG ADUL. C/ 120 ML (GEOLAB)	,	 44.11 
ACETILCISTEINA XPE. 40 MG ADUL.C/ 120 ML(MASSIME)	,	 32.02 
ACETITOL GTS (PARACETAMOL) GLOBO	,	 8.52 
ACETONA C/ 100 ML (AVANTE)	,	 4.95 
ACETONA C/ 100 ML (FARMAX)	,	 4.85 
ACETONA C/ 100 ML (POPY)	,	 5.00 
ACEVITON ARGININA 1/ 1 G C/ 16 COMP. EFERV.	,	 47.94 
ACEVITON IMUNI 200 MG GOTAS C/ 20 ML (CIMED)	,	 17.71 
ACEVITON VIT. C IMUNE C/ 10 COMP. (CIMED)	,	 27.35 
ACEVITON VIT. C+ ZINCO C/ 10 COMP. (CIMED)	,	 29.40 
ACEVITON VIT. C+ ZINCO C/ 30 COMP. (CIMED)	,	 88.20 
ACHEFLAN AEROSOL C/ 75 ML	,	 67.67 
ACHEFLAN CR. 5 MG C/ 30 G	,	 65.58 
ACICLOVIR 200 MG C/ 25 COMP. (PHARLAB)	,	 74.72 
ACICLOVIR 200 MG C/ 30 COMP. (GEOLAB)	,	 89.00 
ACICLOVIR 200 MG C/ 30 COMP. (UNIAO QUIMICA)	,	 96.36 
ACICLOVIR 400 MG C/ 30 COMP. (PRATI DONADUZZI)	,	 150.71 
ACICLOVIR 400 MG C/ 30 COMP.(LEGRAND)	,	 178.00 
ACICLOVIR 400 MG C/ 30 COMP.(MERCK)	,	 269.60 
ACICLOVIR 400 MG C/ 30 COMP.(SANDOX)	,	 269.55 
ACICLOVIR CR. 50 MG C/ 10 G (CIMED)	,	 27.76 
ACICLOVIR CR. 50 MG C/ 10 G (GERMED)	,	 27.70 
ACIDO BORICO POTE C/ 50 G (ANTARES)	,	 7.53 
ACIDO FOLICO 5 MG C/30 CP HIPOLABOR	,	 9.91 
ACIDO FUSIDICO+ VAL. BETAMETASONA CR. C/ 15 G (EMS	,	 57.74 
ACIDO HIALURONICO 150 MG C/ 30 CAPS. (CATARINENSE)	,	 84.47 
ACIDO MEFENAMICO 500 MG C/ 12 COMP. (MEDLEY)	,	 11.02 
ACIDO MEFENAMICO 500 MG C/ 24 COMP. (BIOSINTETIC	,	 25.88 
ACIDO MEFENAMICO 500 MG C/ 24 COMP. (GERMED)	,	 26.14 
ACIDO MEFENAMICO 500 MG C/ 24 COMP. (LEGRAND)	,	 26.14 
ACIDO TRANEXAMICO 250 MG C/ 12 COMP. (EMS)	,	 49.44 
ACINIC 500 MG C/ 30 COMP.	,	 76.39 
ACIVIRAX 200 MG C/ 25 COMP.	,	 89.00 
ACIVIRAX CREME (ACICLOVIR)	,	 22.60 
ACNASE CREME C/ 25 G	,	 42.06 
ACNASE GEL C/ 20 G	,	 44.38 
ACNASE GEL ESFOLIANTE C/ 80 G	,	 37.10 
ACNASE LAPISEIRA SECATIVA C/ 0.3 G	,	 24.32 
ACNASE LOCAO ADSTRINGENTE C/ 130 ML	,	 28.66 
ACNE BLOCK GEL C/ 30 G (NIXODERM) (KLEY HERTZ)	,	 18.87 
ACNEE LOSS GEL C/ 20 G (CIFARMA)	,	 34.02 
ACNEX GH SAB. C/ 100G	,	 14.60 
ACNEZIL GEL 50 MG C/ 20 G (CIMED)	,	 35.90 
ACNEZIL GEL ESFOLIANTE C/ 80 G (CIMED)	,	 28.26 
ACNEZIL SAB. C/ 90 G	,	 7.52 
ACOMPLIA 20 MG C/ 28 COMP. (C1)	,	 432.61 
ACQUA BRASILIS DES. C/ 95 ML	,	 16.90 
ACQUA CR. P/ PENTEAR KIDS 250 ML (NAZCA)	,	 7.39 
ACQUA SH. KIDS NAZCA C/ 250 ML (SORTIDOS)	,	 7.99 
ACTIFEDRIN CX.C/ 20 COMP.	,	 14.64 
ACTIFEDRIN XPE 100 ML	,	 15.19 
ACTINE SAB. C/ 80 G	,	 25.00 
ACTINE SAB. LIQ. C/  60 ML (DARROW)	,	 24.18 
ACTINE SAB. LIQ. C/ 140 ML (DARROW)	,	 50.14 
ACTINE SAB. LIQ. C/ 240 ML (DARROW)	,	 78.12 
ACTIVELLE 1/ 0.5 MG C/ 28 COMP.	,	 71.09 
ACTSUN BLOQUADOR SOLAR FPS 60 C/ 60 ML (FQM-DERMA)	,	 40.26 
ACTSUN BLOQUEADOR SOLAR FPS 30 C/ 60 ML (FQM-DERMA	,	 53.14 
ACTSUN COLOR FPS 60 C/ 60 ML (FQM-DERMA)	,	 98.77 
ACULAR COL. C/ 5 ML (TROMETAMINA)	,	 86.34 
ACULAR LS 0.4% COL. C/  5 ML	,	 71.72 
ACULAR LS 0.4% COL. C/ 10 ML	,	 139.73 
ADACNE SEC SAB. C/ 90 G (GLENMARK)	,	 47.60 
ADALAT 10 MG C/ 60 CAPS.	,	 54.14 
ADALAT RET. 10 MG C/ 30 COMP.	,	 37.61 
ADDERA CAL 2.000 UI C/ 30 COMP.	,	 93.15 
ADDERA D3  2.000 UI C/ 30 COMP.	,	 72.88 
ADDERA D3  5.000 UI C/30 COMP.	,	 115.62 
ADDERA D3  7.000 UI C/  4 COMP.	,	 37.53 
ADDERA D3  7.000 UI C/ 10 CAPS.	,	 76.70 
ADDERA D3 10.000 UI C/  4 CAPS.	,	 56.30 
ADDERA D3 10.000 UI C/ 10 CAPS.	,	 101.26 
ADDERA D3 50.000 UI C/ 4 COMP. (FARMASA)	,	 128.97 
ADDERA D3 GTS. C/ 10 ML (FARMASA)	,	 109.45 
ADEFORTE 1 AMPOLA C/ 3 ML	,	 24.31 
ADEFORTE GTS 15 ML	,	 81.74 
ADEPLEX PLUS GOTAS C/ 20 ML (DOVALLE)	,	 37.61 
ADEREX DUREX C/ 1 ROLO DE 12MMX50M	,	 1.67 
ADERMYKON - C  SOL. OFT. (CLORFENESINA + ASS)	,	 12.16 
ADEROGIL D3 AMP. C/3	,	 9.94 
ADEROGIL D3 AMP.C/ 1 AMP.	,	 3.15 
ADEROGIL D3 GTS. C/ 10 ML	,	 12.84 
ADES SUCO 0% COLESTEROL C/ 1 LITRO	,	 5.86 
ADESIVO P/ UNHAS PROTECTOR NAIL 1 CARTELA	,	 5.00 
ADESIVO PARA PROTECAO DO MAMILO C/ 6 UNIDS (RICCA)	,	 17.64 
ADINOS 0.5 MG GEL C/ 30 G	,	 38.81 
ADINOS GEL CREME C/ 15 G	,	 19.40 
ADINOS GEN* GEL CREME C/ 30 G	,	 45.80 
ADIPEPT 20 MG C/ 28 COMP.	,	 54.11 
ADIPEPT 40 MG C/ 28 COMP.	,	 54.11 
ADIPEPT 40 MG C/ 42 COMP.	,	 57.95 
ADIV BATOM LIQUIDO C/ 1 UNID. REF. ABL	,	 19.06 
ADIV BRILHO LABIAL ROLLON C/ 1 UNID REF. ABK	,	 6.10 
ADIV CORRETIVO P/ AREA DOS OLHOS C/ 1 UNID REF ACI	,	 7.97 
ADIV DUOCAKE HD REF. APV	,	 19.06 
ADIV GLOSS LABIAL REF. AGK C/ 1 UNID.	,	 12.77 
ADIV MASCARA P/ CILIOS C/ 4 ML AMK	,	 19.06 
ADIV PINCEL LINHA ECO MACRILAN REF. ECO-13/ ECO-15	,	 7.68 
ADIV PINCEL LINHA ECO MACRILAN REF.: ECO	,	 9.98 
ADIV PINCEL P/ BASE C/ 1 UNID. KP5-25C MACRILAN	,	 7.97 
ADIV PINCEL P/ BATOM C/ 1 UNID. REF. KP1-15	,	 7.60 
ADIV PINCEL P/ ESFUMAR W106/ W906/ W905	,	 7.60 
ADIV PINCEL P/ SOMBRA DREAN MACRILAN REF. DR-7	,	 6.72 
ADIV PO COMPACTO HD C/ 10 G REF. APP	,	 19.06 
ADIV PRIMER FACIAL C/ 40 ML REF. APT	,	 19.15 
ADIV QUARTETO DE SOMBRAS C/ 1 UNID REF AQP	,	 20.78 
ADIV TONICO FACIAL C/ 120 ML REF. ATF/ ATS	,	 19.15 
AD-MUC 10% POMADA C/ 10 G	,	 44.26 
ADNAX ADULTO FR. C/ 20 ML	,	 18.65 
ADOCANTE ASSUGRIN LIQUIDO TRAD. C/ 100 ML	,	 4.11 
ADOCANTE FINN STEVIA E TAUMATINA C/ 65 ML 	,	 15.36 
ADOCANTE LINEA 100% STEVIA C/ 50 ENV. C/ 500 MG 	,	 14.99 
ADOCANTE LINEA ENVELOPE C/ 800 MG CADA	,	 14.88 
ADOCANTE LINEA LIQUIDO LEVE 75 ML PAGUE 50 ML	,	 10.34 
ADOCANTE LINEA LIQUIDO STEVIA C/ 60 ML	,	 15.99 
ADOCANTE LINEA LIQUIDO SUCRALOSE C/ 75 ML	,	 15.99 
ADOCYL ADOCANTE SACARINA C/ 100 ML	,	 4.85 
ADOCYL ADOCANTE SACARINA C/ 200 ML	,	 8.30 
ADOLESS C/ 28 COMP. 0.060/ 0.015 MG	,	 48.74 
ADOLESS CARTELA C/ 28 COMP. (FARMOQUIMICA)	,	 40.63 
AD-TIL SOL. C/ 10 ML	,	 10.76 
AD-TIL SOL. C/ 20 ML	,	 21.63 
ADVANTAN 1 MG CR. C/ 15 G (INTENDIS)	,	 72.48 
ADVIL 200 MG C/ 20 COMP.	,	 35.72 
ADVIL 400 MG C/  8 CAPS.	,	 25.42 
ADVIL 400 MG C/ 10 CAPS. LIQUIDAS	,	 26.76 
ADVIL 400 MG C/ 16 CAPS.	,	 46.26 
ADVIL 400 MG C/ 20 CAPS.	,	 53.30 
ADVIL 600 MG 12 HORAS C/  2 COMP.	,	 7.29 
ADVIL 600 MG 12 HORAS C/  6 COMP.	,	 21.40 
ADVIL MULHER 400 MG C/ 10 COMP.	,	 29.39 
AEROCORT S 50+100MCG SPRAY C/ 200 DOSES (GLENMARK)	,	 61.83 
AERODINI 100 MCG SPRAY C/ 200 DOSES	,	 50.04 
AEROFLUX SOL. (EDULITO) 120 ML	,	 22.73 
AEROFRIN 100 MCG/DOSE C/ 200 DOSES (PHARMASCIENCE)	,	 44.93 
AEROFRIN XPE. C/ 120 ML (PHARMASCIENCE)	,	 14.34 
AEROGOLD 100 MCG SPRAY C/ 200 DOSES (GLENMARK)	,	 43.43 
AEROLIN 2 MG C/ 20 COMP.	,	 6.79 
AEROLIN 4 MG C/ 20 COMP.	,	 9.97 
AEROLIN GOTAS C/ 10 ML P/ NEBULIZAZAO	,	 22.93 
AEROLIN SPRAY 200 DOSES	,	 53.21 
AEROLIN XPE. C/ 120 ML	,	 14.40 
AEROMED 2 MG C/ 20 COMP.  (SALBUTAMOL)	,	 6.20 
AEROMED XPE. C/ 120 ML (MEDQUIMICA) (SALBUTAMOL)	,	 14.22 
AEROTIDE SPRAY FR. C/ 200 DOSES	,	 54.47 
AFOLIC 5 MG C/ 20 COMP. (NATULAB)	,	 12.42 
AFOPIC 5 MG C/ 20 COMP. (TEUTO)	,	 12.81 
AFRAT 150 MG C/ 1 COMP. (CRISTALIA)	,	 86.43 
AFRIN AD. 12 HORAS C/ 10 ML	,	 14.88 
AFRIN AD. 12 HORAS C/ 30 ML	,	 26.80 
AFRIN NATURAL NASAL C/ 30 ML	,	 15.53 
AFRIN OFT. 20 ML	,	 5.12 
AFRIN PED. C/ 20 ML	,	 18.71 
AFTINE SOL. C/ 20 ML	,	 34.45 
AFTJET SOL. GTS. C/ 20 ML (CARESSE)	,	 33.06 
AFTLIV SOL. C/ 25 ML (NATULAB)	,	 37.56 
AFTNEW SPRAY ROSA RUBRA C/ 30 ML (ARTE NATIVA)	,	 27.44 
AFTODERM SUSP. ORAL C/ 50 ML (NISTATINA)	,	 33.17 
AGAROL BRANCO 240 ML (SABOR TRADICIONAL)	,	 21.18 
AGAROL MORANGO 240 ML (NYCOMED)	,	 22.62 
AGIL C C/ 10 COMP. (PHARLAB)	,	 26.74 
AGIL C KIDS SABOR LARANJA C/ 25 UNID.(PHARLAB)	,	 17.48 
AGUA BI-DESTILADA C/  2 ML	,	 0.48 
AGUA BI-DESTILADA C/  5 ML	,	 0.68 
AGUA BI-DESTILADA C/ 10 ML	,	 1.28 
AGUA BORICADA 3% C/ 100 ML (FARMAX)	,	 3.60 
AGUA BORICADA 3% C/ 100 ML (RIOQUIMICA)	,	 3.25 
AGUA INGLESA 500 ML (CATARINENSE)	,	 48.88 
AGUA MICELAR 5 EM 1 C/ 100 ML (HIDRADERM)	,	 11.31 
AGUA MICELAR 5 EM 1 C/ 200 ML (HIDRADERM)	,	 16.49 
AGUA MICELAR DERMA CHEM LABORATORY C/ 250 ML	,	 15.99 
AGUA OXIG. MARCIA VOL. 20 CREM. C/ 70 ML	,	 1.25 
AGUA OXIG. MARCIA VOL. 40 CREM. C/ 100 ML	,	 1.61 
AGUA OXIG. SPRAY VOL. 10 C/ 100 ML(FARMAX)	,	 4.90 
AGUA OXIG. VOL. 10 C/ 100 ML (FARMAX)	,	 3.85 
AGUA OXIG. VOL. 10 C/ 100 ML (RIOQUIMICA)	,	 2.80 
AGUA OXIG. VOL. 20 CREM. C/  90 ML (AVANTE)	,	 2.38 
AGUA OXIG. VOL. 20 CREM. C/  90 ML (FARMAX)	,	 2.50 
AGUA OXIG. VOL. 30 CREM. C/ 100 ML (BEIRA ALTA)	,	 2.11 
AGUA OXIG. VOL. 30 CREM. C/ 90 ML (AVANTE)	,	 2.85 
AGUA OXIG. VOL. 30 CREM. C/ 90 ML (FARMAX)	,	 2.85 
AGUA OXIG. VOL. 40 C/ 900 ML (FARMAX)	,	 20.99 
AGUA OXIG. VOL. 40 CREM. C/  70 ML (FARMAX)	,	 2.81 
AGUA OXIG. VOL. 40 CREM. C/ 100 ML (FARMAX)	,	 3.00 
AGUA OXIG. VOL. 40 CREM. C/ 90 ML (AVANTE)	,	 2.87 
AGUA P/ INJEÇÃO C/ 10 ML (FARMACE)	,	 3.90 
AGUAS DE NATURA  MUSC SANDALO  COL.	,	 52.70 
AGUAS DE NATURA CAMPOS DE LIRIOS C/300 ML	,	 54.70 
AGUAS DE NATURA VERDE CHA C/ 300 ML  	,	 54.70 
AGULHA DESC. 1 UNIDADE	,	 0.31 
AH-ZUL 50 MG C/ 1 COMP. (LEGRAND)	,	 20.43 
AIDE 3 200 UI SOL. ORAL. C/ 10 ML	,	 60.99 
AIDE 3 200 UI SOL. ORAL. C/ 20 ML	,	 86.33 
AIRCLIN 50 MCG SOL. NASAL C/ 15 ML 120 DOSES	,	 93.03 
AIRES 600 MG C/ 16 ENVELOPES 5 G	,	 75.68 
AIXA 2/ 0.03 MG C/ 21 COMP.	,	 58.30 
AKINETON 2 MG C/ 80 COMP. (C1)	,	 47.53 
AKINETON 4 MG RET. (BIPERIDENO) (C1)	,	 31.88 
ALATO 400 MG C/ 60 CAPS. (ESSENZAFARMA)	,	 54.07 
ALBANY SAB. C/ 90 G (SORTIDOS)	,	 1.00 
ALBEL 200 MG C/ 10 ML (GEOLAB)	,	 11.59 
ALBEL 400 MG C/ 1 COMP. MAST. (GEOLAB)	,	 10.18 
ALBEL 400 MG C/ 3 COMP. (GEOLAB)	,	 27.58 
ALBENDAZOL 40 MG C/ 10 ML (GEOLAB)	,	 8.67 
ALBENDAZOL 40 MG C/ 10 ML (PRATI DONADUZZI)	,	 8.54 
ALBENDAZOL 40 MG C/ 10 ML (TEUTO)	,	 8.10 
ALBENDAZOL 400 MG C/ 1 COMP. (GERMED)	,	 10.83 
ALBENDAZOL 400 MG C/ 1 COMP. (PRATI-DONADUZZI)	,	 8.72 
ALBENDAZOL 400 MG C/ 3 COMP. (CIMED)	,	 23.32 
ALBENDAZOL 400 MG C/ 3 COMP. (GEOLAB)	,	 23.24 
ALBENDAZOL 400 MG C/ 3 COMP. (GEOLAB)	,	 23.24 
ALBENDY 400 MG C/ 1 COMP. (HERTZ)	,	 9.87 
ALBENDY SUSP. C/ 10 ML (HERTZ)	,	 11.75 
ALBENIX 200 MG C/ 2 COMP. (GLOBO)	,	 4.38 
ALBENIX 400 MG C/ 1 COMP. (GLOBO)	,	 7.06 
ALBENIX SUSP. C/ 10 ML (GLOBO)	,	 8.94 
ALBICON PO C/ 20 G (CHIESI)	,	 19.84 
ALBOCRESIL GEL C/ APLICADOR C/ 50 G	,	 31.15 
ALBOCRESIL OVULOS C/ 6 UNIDADES	,	 20.17 
ALBOCRESIL SOLUCAO C/ 12 ML	,	 33.52 
ALBUMINA MEXX EGG'S PRO C/ 500 G SUPLEMENTO	,	 55.06 
ALBUMINA SAC. C/ 500 G (SORTIDOS HEALTH LABS)	,	 28.56 
ALCACHOFRA C/ 30 CAPS. (NATULAB)	,	 30.45 
ALCACHOFRA C/ 30 COMP. (ASPEN)	,	 26.46 
ALCACHOFRA SIMOES C/ 100 COMP. (LABSIMOES)	,	 32.96 
ALCAFELOL LIQ. C/ 150 ML (BOLDO + ALCACHOFRA)	,	 26.88 
ALCOOL 70% C/  1 L (START)	,	 10.49 
ALCOOL 70% C/  50 ML (FARMAX)	,	 4.00 
ALCOOL 70% C/ 100 ML (IDEAL)	,	 3.00 
ALCOOL 70% C/ 5 LITROS (SANITALL)	,	 61.82 
ALCOOL 70% C/ 50 ML (RIOQUIMICA)	,	 2.91 
ALCOOL ABSOLUTO C/ 50 ML (ANTARES)	,	 4.07 
ALCOOL ABSOLUTO C/ 50 ML (RIOQUIMICA) RIALCOOL	,	 2.98 
ALCOOL DE CEREAIS C/  50 ML (ANTARES)	,	 3.42 
ALCOOL GEL 70 % C/ 480 G (Q-OTIMO)	,	 10.65 
ALCOOL GEL 70% C/ 210 G (UNIGEL/ UNICORP)	,	 7.80 
ALCOOL GEL 70% C/ 440 G (IDEAL)	,	 8.79 
ALCOOL GEL 70% C/ 90 G (FARMAX)	,	 2.79 
ALCOOL GEL 70% C/ 90 G (PHARMA)	,	 5.24 
ALCOOL GEL C/  50 G (FARMAX)	,	 3.45 
ALCOOL GEL C/  60 ML (SAO RAIZEIRO)	,	 7.35 
ALCOOL GEL C/  60 ML/ 51 G (INDAGEL MAX)	,	 2.69 
ALCOOL GEL C/ 4.5 KG (QOTIMO)	,	 68.85 
ALCOOL GEL C/ 420 G (START) ASSEPTGEL	,	 13.65 
ALCOOL GEL C/ 430 G (FARMAX)	,	 17.99 
ALCOOL GEL C/ 500 G (INDAGEL MAX)	,	 14.10 
ALCOOL GEL USO DOMESTICO C/ 500 G Q-OTIMO	,	 7.56 
ALCOOL IODADO 100 ML (FARMAX)	,	 1.51 
ALCOOL ISOPROPILICO C/ 50 ML(RIOQUIMICA)	,	 7.25 
ALCOOL LIQUIDO SANITALL 70% C/ 1 LITRO (OFFICER)	,	 11.99 
ALDACTONE  25 MG C/ 30 COMP.	,	 43.48 
ALDACTONE  50 MG C/ 30 COMP.	,	 68.42 
ALDACTONE 100 MG C/ 16 COMP.	,	 47.64 
ALDAZIDA 50/ 50 MG  C/ 30 CAPS.	,	 56.15 
ALDOMET 250 MG C/ 30 COMP.	,	 28.59 
ALDOMET 500 MG C/ 30 COMP.	,	 55.79 
ALDOTIL 500 MG (METILDOPA) (HIPOLABOR)	,	 53.59 
ALEKTOS 20 MG C/ 30 COMP. (TAKEDA)	,	 126.95 
